0	He wetted his face , took a bakelite mug from the glass shelf above the basin , and drank a very great deal of water , which momentarily refreshed him , though it had some other effect as well which he could n't at once identify .	identify	45	0
1	Seeing a fire truck out in this weather is not a good sign .	Seeing	0	1
2	At the beginning of March , headquarters sent an order to the detachment guarding the bridge to double their precautions since , according to reliable information , the notorious brigand Jakov Cekrlija had crossed from Herzegovina into Bosnia and was now hiding somewhere near Visegrad whence , in all likelihood , he would try to reach either the Serbian or the Turkish frontier .	double	17	0
3	The motive was not so different from Clousarr 's in punching R . Daneel .	punching	10	0
4	Heston maganimously holds up a hand to read the mayor 's letter ( only to explain in detail why he chose to ignore the request -- not mentioning at all the reasons you have given ! ) .	explain	15	0
5	If there was any reason for this then it escaped Ford Prefect for the moment .	escaped	9	0
6	While I waited for the food , I checked out the back of the store where Tupelo Honey Cafe hawks their homestyle wares : preserves , pickles , salsa , honey , t-shirts , aprons and all sorts of mini-advertisements for the restaurant .	waited	2	1
7	Nevertheless , " continued the colonel , " such a thing must be punished in an unprecedented manner , the guy has to be expelled from the school of one-year volunteers , be morally annihilated .	expelled	24	0
8	These ladies both have blondish hair .	have	3	1
9	" Intelligence is a descriptor of the quality of mental functioning , the ceiling of intellectual manipulation to which the individual can rise . , "	rise	22	1
10	Those who didnt escape were executed or sold into slavery .	executed	5	0
11	When it fell , the Temple and all the buildings were burned .	burned	11	0
12	Cast out of the ranks of his contemporaries right at the outset , he dreamed of surpassing them all one day by some exceptional feat and so avenging himself on them all for everything .	avenging	27	0
13	Someone is holding an long hot dog in front of a box of stuffed animals .	holding	2	1
14	And some of our own would-you-rathers turn out to be equally hypothetical : ways of simplifying the unthinkable , pretending to control the uncontrollable .	simplifying	15	0
15	The man jumped , saw Langdon 's dripping clothes , and yanked off his headset .	yanked	11	0
16	Ron had played the guitar since he was a kid .	played	2	1
17	Could n't get up this morning .	Could	0	1
18	A woman wearing a headscarf is near many tulips .	wearing	2	1
19	Suddenly , Amy screamed .	screamed	3	1
20	It 's halloween and all the kids are dressed up .	dressed	8	1
21	A guy is at work using his computer to take care of business .	take	9	1
22	Fache sprinted down the Grand Gallery as Collet 's radio blared over the distant sound of the alarm .	sprinted	1	0
23	Big sister is helping to clear the snow out .	helping	3	1
24	He thinks Janey is trying to scotch his chances to keep his bench . "	scotch	6	0
25	it allows a writer to show his gifts , delve into mysteries of perception , present a stylised version of thought processes , permit the vagaries and unpredictability of the private self to be explored and so on .	delve	9	0
26	golfer watches his tee shot on the ninth tee during event	watches	1	1
27	She did n't like it when her children squabbled .	squabbled	8	1
28	Old technology wasnot replaced , obsolete methods were not updated , and almost none of the industrys profits were being utilized to helpmodernize .	updated	9	1
29	It came in through my mother 's blood ; my Russian grandmother would always tell me stories , bylichkas , of ancestors with the " second sight " , stupid mill owners who discovered bags of gold after letting a special fish off their hooks , and dark strangers who used to appear to help or interfere at crucial times .	came	1	0
30	On a small obscure world somewhere in the middle of nowhere in particular - nowhere , that is , that could ever be found , since it is protected by a vast field of unprobability to which only six men in this galaxy have a key - it was raining .	protected	28	1
31	The latest of this string of questions was drowned by a long rumbling shake in the bass of the piano .	drowned	8	0
32	People became excitedand waited for the mills to reappear , but they never did .	became	1	1
33	All the heavy light cables were in the air , flowing and jerking and writhing like snakes out of an Indian fakir 's basket .	writhing	14	1
34	A couple people staying in their rooms , even if you switch out the people , wo n't make a difference .” He dropped the pecans back into the dish , one by one .	dropped	23	0
35	About half-way down the side of the shattered building they stopped to rest .	rest	12	1
36	The Bible tells us that the cruelty and impiety of the rulers of both kingdoms aroused the fury of the great Prophets .	aroused	15	1
37	Without a word , Langdon slipped out the door and skirted the press , who were now entering the church in droves .	skirted	10	0
38	But do not deceive yourself into a belief that I will ever recede .	recede	12	0
39	A cow is standing at the edge of the ocean .	standing	3	1
40	After a few days a certain regularity was established .	established	8	0
41	These people do not feel the need to express sympathy , or to think about ways to avoid such incidents , but they feel the need to assert their " rights " and to look for quick , simple answers -- as Busch states , gun owners wanted to " hang [the child] from the highest tree " .	look	34	0
42	He danced dizzily over the edge as the dreamland dropped sheer away beneath him , a stupefying precipice into nothing , him wildly twisting , clawing at nothing , flailing in horrifying space , spinning , falling .	twisting	23	1
43	Property owned by Arab refugees , who either fled war zones or were forced from their homes by the Israeli army ( another long-standing controversy ) , was also taken over by individual Jews or confiscated by the government .	taken	29	1
44	For making Dough 1 cup All purpose flour / Maida 1 cup water 1 tablespoon Sugar 1 tablespoon Vegetable oil 1/2 teaspoon SaltFor making Churros Oil for deep fryingTo Sprinkle / Roll 1 tablespoon sugar 1 teaspoon of Ground cinnamon	making	1	1
45	The reason the sentence is highlighted is not to deceive the viewer into believing that Heston hurried to Flint to immediately hold a rally there ( as will become quite obvious ) , but simply to highlight the first mention of the name " Kayla Rolland " in the text , which is in this paragraph .	highlight	36	0
46	how to be a wildflower by person	be	2	1
47	A young lady making a silly face is playing the Wii .	playing	8	1
48	You write : " Fact : The little boy was the class thug , already suspended from school for stabbing another kid with a pencil , and had fought with Kayla the day before " .	write	1	0
49	It was , however , a descendant of one of these eccentric poets who invented the spurious tales of impending doom which enabled the people of Golgafrincham to rid themselves of an entire useless third of their population .	invented	14	0
50	Man in suede jacket plays the electric guitar .	plays	4	1
51	A person is riding a motorcycle on dirt .	riding	3	1
52	They could sing beautifully .	sing	2	1
53	I 'm just writing the answers out for you !	writing	3	1
54	The tension eased as the rain subsided .	eased	2	0
55	”In that great and strange struggle , which had been waged in Bosnia for centuries between two faiths , for land and power and their own conception of life and order , the adversaries had taken from each other not only women , horses and arms but also songs .	waged	10	0
56	It groped until it found Langdon 's neck and clamped down .	clamped	9	1
57	”My church is consecrated to Saint Jan Nepomuk , who was tortured rather than betray the secrets of the holy confessional . . .And finally , the profit of the entrepreneurs will decrease in exactly the same proportion as ground rent increases , and as the labourers ' remuneration remains fixed .	decrease	32	0
58	I was n't learning anything useful .	learning	3	0
59	A man in a cowboy outfit on a horse is walking down the street while people watch .	walking	10	1
60	Two children are sitting on a stool on the front outside of a white door .	sitting	3	1
61	Four children are each making a gymnastic bridge on their hands and feet .	making	4	1
62	He shook his head sharply in the hope that it might dislodge some salient fact which would fall into place and make sense of an otherwise utterly bewildering Universe , but since the salient fact , if there was one , entirely failed to do this , he set off up the road again , hoping that a good vigorous walk , and maybe even some good painful blisters , would help to reassure him of his own existence at least , if not his sanity . "	reassure	73	0
63	He wept and defended himself and as long as he was able to move any part of his body , he struggled and shouted :Proudly and patiently he waited for someone to ask for a song from him and then hesitantly took his gusle out of his bag , breathed on it , looked to see if his bow had been slackened by damp , and tuned up , all the while quite clearly wanting to attract as little attention as possible to these technical preliminaries .	tuned	66	1
64	She glared at me , but obediently let me pull her along .	glared	1	1
65	It takes thirty seconds to download a programme from the Net that can crack Word 's encryption protection . "	download	5	0
66	A man with a pencil behind his ear and a guy drinking out of a mug have a conversation in a living room .	drinking	11	1
67	A Zebra is standing in the shallow water .	standing	3	1
68	”As if sustained and too-direct contact with time 's raw passage could scar the nerves permanently , like staring at the sun .	scar	12	0
69	I pulled the vial of liquid that hed been giving me from his pocket and ran to the altar .	ran	15	0
70	They had a lot of spare pens to make sure they did not run out of ink !	run	13	1
71	His principal adversary was the talkative and aggressive Herak who looked at everything and criticized everything from an orthodox socialist viewpoint .	criticized	14	1
72	Ive looked into it a little , and I do think we might be dealing with one of them .	dealing	14	1
73	Well , we dont get many customers asking about that item .	get	4	0
74	Selling Land to Jews Last week , a 70-year-old Palestinian real-estate dealer was murdered after he violated a new edict by the Palestinian Authority making the sale of Arab-owned land to Jews a capital crime .	murdered	13	0
