So , in the same way , there are things , situations , that no one has dared to externalize , but which the mind has produced by accident in a moment of aberration , of madness , call it what you will .	externalize	19	1
Ford sprang up .	sprang	1	1
Nepthys turned back to the little man on the bed , who had not moved .	turned	1	1
Setting an arm on my shoulder , he said , Nathan , what you see here might be frightening , but those things you saw are people just like you .	saw	24	1
Dixon had a fleeting impression of the thinner alderman and his wife exchanging a glance of approving comment .	exchanging	12	1
But I ve just had a report that a representative of Disaster Area met with the environmentalists at lunchtime , and had them all shot , so nothing now lies in the way of . . . ”For a moment the Captain did not answer .	met	13	1
‘ We had the best of educations - in fact , we went to school every day - But we have also , ” continued the Management Consultant , run into a small inflation problem on account of the high level of leaf availability , which means that , I gather , the current going rate has something like three deciduous forests buying one ship s peanut .	continued	24	1
You could say I m more differed from than differing .	differed	6	0
The great , richly furnished apartment was swathed in black cloth .	swathed	7	1
, the treasury was transferred to Athens and its deposits were used to finance the construction of many of the major buildings and temples of the Classical Age .	transferred	4	1
And I am Isis ,” said the woman , offering her hand to me .	said	5	1
No sooner had I got there that my former self , the one that operated on my brain , popped into my head and said ‘ Go see Zarniwoop .	operated	14	0
No , but how do I refill the prescription at home ? "	refill	6	1
The one thing that would n't change .	change	6	1
The events that would follow this date ( known as Black Monday ) are seen by the people who witnessed them either as stories of great courage and determination or as monuments to human failure and false hope .	follow	4	1
Ford had recovered himself .	recovered	2	1
Their chances are small , however , as their arguments rely on polemic , exaggeration and misrepresentation -- in other words , on the same techniques which they accuse Moore of using .	rely	10	0
Be forewarned , Paris .	forewarned	1	1
Perhaps because Jerusalem was in neutral territory not allotted to any of the twelve rival tribes of Israel , David made it the capital of his newly formed kingdom and brought the most talented artisans , dedicated priests , magical poets and musicians , and the most formidable soldiers from each of the tribes to live in his city .	brought	30	1
If you would like to meet him , this is very easily arranged . '	arranged	12	1
Okay , the premise is Buffalo Bill did Fredrica first , weighted her and hid her well , in a river far from home .	weighted	11	1
He grabbed at a napkin off the table and fumbled hopelessly with it .	grabbed	1	1
Much of the best Islamic architecture in the city was constructed in the Mameluke era , but the past thousand years had taken their toll : Jerusalem was unable to regain the prosperity it had enjoyed in earlier times .	constructed	10	1
Beyond that , no one knew how they should proceed : everyone knew that saving the mills was important , but nobody steppedforward with a full-fledged plan to do it without losing huge amounts of money and dragging even more people down .	knew	5	0
Wo n't Central be crushed to learn that another gateway has yielded little more than a class F planet and a white dwarf system .	crushed	4	0
People outside of the area had no personal investment in themills , and so it was difficult to convince anyone from out of the county to contribute funds .	was	15	1
Something in his tone could n't be disbelieved .	disbelieved	7	0
He had often seen surgeons similarly moved when among the dead and dying by the need to reaffirm the life coursing inside them .	reaffirm	17	1
When examining the areas history , culture , and economic situation we can identify four main reasons : the refusal of the international leadership of United Steelworkers of America to support their unions Youngstown branch , the lagging international steel market , the lack of a clear , organized vision for individual initiatives such as the Save Our Valley Campaign , and crippling regionalism which caused animosity between different small towns in the region , all contributed in some way to the failure of the workers and union leaders to save the industry .	caused	65	1
I have even stressed the other fact that everything which man by tradition venerates and reveres , does not represent an absolute ethical value , but is sacred only within the frame of reference of one particular culture .	venerates	13	0
They all laughed and cheered it on , then gradually dispersed to their various cars and disappeared into the nightEach of the two contestants would then concentrate their will on the bottle and attempt to tip it and pour spirit into the glass of his opponent - who would then have to drink it . "	tip	35	1
The steel workers who tried to save their jobs and their lives were part of something greater than themselves , somethingwhich would endure long after they had moved away and moved on .	were	12	0
Sophie creeps in to give the pond some shape , smoothing its edges into place before slinking back to her post .	slinking	16	1
Maybe that 's the problem ,” said Sarah .	said	6	1
He was glad it would n't now be him who delivered the report they 'd just received .	delivered	10	1
But we see new faces .” You 're sure it 's not just some people being indisposed ?	sure	8	0
But Jesus stooped down , and with his finger wrote on the ground , as though he had not heard them .	stooped	2	1
I saw people with skin stretched so tightly across their cheekbones that the corners had broken through – people whose cheekbones had horns growing from them , and people whose skin was gathered back like a ponytail .	was	31	0
Come on , Amy ,” I said , hell be along soon .”Nepthys caught up with us after a minute and walked silently to the end of the hall .	caught	13	1
I thought back to one time when Id been thinking about raising a family and remembered that Id always liked the name –Amy .”Nepthys looked at me incredulously .	liked	19	0
At this point , we have removed ourselves so fully from quotidian human existence that we are understood to be fictional .	have	5	0
330 , however , when the newly converted Emperor Constantine made Byzantium , renamed Constantinople , capital of his Eastern Empire that Christianity was assured of its dominant role in future Greek life .	was	23	0
Whenever he grew excited in conversation and raised his voice , and that was a frequent occurrence , he would suddenly choke , his neck tendons stand out , his face grow red and his eyes fill with tears , while his chest creaked , wheezed and echoed like a storm on the hills .	wheezed	45	1
As he stepped out of the airlock , the air that greeted him was cool and fresh - the air conditioning was still working .	greeted	11	0
He also brought the Ark of the Covenant , the portable tabernacle containing the Tablets of the Law received on Mount Sinai , to the Spring of Gihon , just outside the walls of Jerusalem .	containing	12	0
But it went very much against her not to succour a deserted young one so far as she could .	succour	9	1
It is unlikely , however , that the unfair attacks against him will have much of an impact .	have	13	0
Somebody threw up some plywood , chopped up the place , and made little apartments .	chopped	6	1
In 1973 , the Experimental Negotiating Agreement was signed .	signed	8	1
We are n't angels .	are	1	0
”If I consider why I 'm here , it 's basically for a rather odd reason : when those Soviet war chariots rolled in , I shot myself for fear I 'd shit myself all over again later on and let myself be edified to the point where I could be edified no longer .	edified	43	1
I found your vampire ,” she said , but he might know that someones looking for him .	found	1	1
The field work office at my college arranges this retreat every semester .	arranges	7	1
Although it has not been documented , recruitment of other bears by intentional marking to excess food supplies would also be of very low cost to individual bears .	documented	5	1
Most people in Struthers are either Orthodox or Baptist .	are	4	0
