In this too he proceeded differently from all his predecessors .	4	1
Langdon thought of the notorious Templar round-up in 1307 - unlucky Friday the thirteenth - when Pope Clement killed and interred hundreds of Knights Templar .	20	0
He dismissed the workers and stopped the work .	1	0
At the last station he was gaining horses all of a sudden , and now out of the clean-and-clear sky he is even having chief field chaplains birthed in the arrestee car .	27	0
An ' there 's the place down by the barn where Pa got gored to death by a bull . "	13	0
Sorry , I thought you were proposing a toast , " he said .	6	0
All penalty is remitted for your valour in battle , and still more because all that you did was for the love of the Lord Faramir .	3	0
And what a gloatingly feline look victorious Chloe gave me over her shoulder , her face unpleasantly pinched and an eye-tooth glinting .	21	1
However , next summer , the water supply was installed , even as so many earlier works had been introduced and completed .	9	0
Des Fosses , on the other hand , with an objectivity that astonished Daville , analyzed all the phenomena around him , endeavouring to find reasons for them both in themselves and in the conditions which had given rise to them , regardless of the damage or benefit , comfort or discomfort which they might momentarily afford the Consulate .	15	1
He joined Pat at teacher conferences , coached T-ball and soccer teams , participated in and contributed to every aspect of Gavin 's development .	7	1
At this point he decided he would not wait all day after all , he would merely pretend that the last half hour hadn t happened .	8	1
He would blackmail us by threatening to tell Peach , or use information we had innocently given him to make us do what he wanted .	2	1
While you save your skins .	2	0
”‘ I remember being staggered , my brother told me , ‘ when J . described how every night Father had kept them up to the early hours with his anecdotes and lively conversation .	4	0
Not even plum brandy could enliven and improve their mood .	5	0
It 's hard to top those , and I have never since seen anything remotely like them .	4	0
Catherine Baker Martin peeped around the curtain and saw the man trying to put the chair into the back of the truck .	3	1
He pit his head right down to the ground and peered .	10	1
Orange , Longbottom , " said Snape , ladling some up and allowing to splash back into the cauldron , so that everyone could see .	8	0
The total from all twelve questions was then totted up .	8	0
Mother wailed , screaming incoherently at him .	1	1
That brought in its train expenses and inconveniences and dangers not only for the Turks , but especially for the Serbs who were suspected , persecuted and fined in those years more than ever before .	25	0
I was joking , ' said the cat meekly ' and as for those tigers , I 'll have them roasted . '	20	0
The crowd surged and closed behind them again , as frantically they pushed and hauled the rattling supermarket trolley through the rubble towards the ramp .	14	0
In the afternoon , the two elder Miss Bennets were able to be for half an hour by themselves ; and Elizabeth instantly availed herself of the opportunity of making many inquiries , which Jane was equally eager to satisfy .	23	0
For people who question the validity of these visions he will triumphantly produce the clogs in question , and that 's as far as you get . "	3	1
" If you want me to eat them , please peel them for me . "	10	0
GRAZIE , ” he said , leading her through a jostling crowd .	10	1
It claimed to produce the widest possible range of drinks personally matched to the tastes and metabolism of whoever cared to use it .	3	1
Zaphod smiled , picturing himself .	3	1
The Vatican denounced the brotherhood as SHAITAN .	2	0
”If they ll be hauling us to the right , then Serbia is peeking out of it , and to the left , Russia .	13	1
So as not to stop or despair , people cheat themselves , piling new tasks on top of unfinished ones , although they will not complete these either , searching in new undertakings and new efforts for new strength and greater courage .	9	1
He slid himself out of the maintenance hatchway which he had fashioned into a bunk for himself by disabling some of the noisier machinery in his vicinity and padding it with towels .	18	0
The Captain , however , regarded the lone bagpiper with an indulgent eye . "	5	1
The camerlegno had resurrected the Illuminati as a reminder . '	3	0
While the Pestilence rages in some place do not go there , for you may become infected , and if you are already in the place where it rages then do not depart from that place lest you infect others . '	38	1
Alice chronicled the discussions in a diary that later became a soul-searching book called Mapping fate .	1	0
And what if the Swiss Guards HAVE been infiltrated ?	8	0
He screamed for help , but his cries reverberated in the tight shaft .	8	1
Gopnik hypothesises that they store English plurals in their minds as separate lexical entries , in the same way that we all store singulars .	1	1
It became more and more evident that the good profits and easier life which they had brought had their counterpart and were only pieces in some great and mysterious game of which no one knew all the rules and none could foresee the outcome .	41	1
She suddenly broke in again in her other manner , the one he associated with their phone conversation :Herzegovina was pacified .	20	0
She prayed God for a miracle and that her ticket should draw the first prize .	1	1
He was now ten years old and still could not speak clearly or stand upright , but expressed himself in vague sounds and crawled about the house on his hands and knees .	23	1
Miss Bennet was the only creature who could suppose there might be any extenuating circumstances in the case , unknown to the society of Hertfordshire ; her mild and steady candour always pleaded for allowances , and urged the possibility of mistakes - but by every body else Mr Darcy was condemned as the worst of men .	32	1
If you would like to wake up now I will serve you coffee and biscuits .	5	0
”And in fact , before Tahir Bey was half way there , they had succeeded in both enhancing and detracting from his reputation .	19	0
I would like to thank the Royal Geographical Society , London , for allowing me to read archival material and to glean from their Geographical Journals the world of explorers and their journeys-often beautifully recorded by their writers . '	21	0
She cut some large sheets out of wrapping paper , pinned one of them to a stiff folder , and made me sit in an armchair for a long time .	10	0
A small group of hairy men with helmets sat looking very pleased with themselves , and raised their glasses to him .	16	0
