The air was greasy with the distinctive feel of magic , and acrid with the smoke of candles made of a black wax whose precise origin a wise man would n't enquire about .	enquire	31	0
And I do n't mean that you disgust me .	mean	4	1
He could just as easily have busted his head or broken his neck .	busted	6	0
Langdon was intrigued .	intrigued	2	1
You will find original examples in the archaeological museums throughout the Cyclades , although one of the earliest examples is in the museum on Paros .	find	2	1
That such a rock could hold so much magic – its a wonder .”That it is ,” Nepthys assured her .	assured	18	0
I am here now because you called for help , and no-one else would answer .” He turned onto the next street and shifted up .	called	6	0
He smiled happily at them .	smiled	1	0
I think its a fair deal , considering the return ,” he told me , but its up to you .”I thought about it , then nodded .	told	12	0
Moore presents the most important part of the speech to back up this point and ignores the fluff .	ignores	15	1
The great , richly furnished apartment was swathed in black cloth .	swathed	7	0
Without hearing the car horns , I could almost taste the air of late March through the street fumes .	taste	9	1
Behind him in the backseat was a girl who had made him crack his head on the door as he climbed in .	crack	12	0
5 ) You write : " Having created the desired impression , Moore follows with his Heston interview . "	follows	13	0
My first instinct was to assume that they had been specially printed for P . to advertise his work : he always had a beretful of theoretically money-making schemes .	advertise	16	1
I realized that she had upped the ante since the last time that I had been there : she was doing about four or five hits for every one of mine .	upped	5	1
I was outraged , but he was right ;The odour of the food diffuses up into the nasal cavity , where the olfactory membrane is located .	diffuses	13	1
He certainly does not " attribute it to a speech where it was not uttered " and , as noted above , doing so twice would make no sense whatsoever if Moore was the mastermind deceiver that his critics claim he is .	uttered	14	0
If you enjoy your ride , which will be swift and pleasurable , then you may care to experience some of the other elevators which have recently been installed in the offices of the Galactic tax department , Boobiloo Baby Foods and the Sirian State Mental Hospital , where many ex-Sirius Cybernetics Corporation executives will be delighted to welcome your visits , sympathy , and happy tales of the outside world .	delighted	56	0
Hastily Bannister scurried to the telephone .	scurried	2	0
The boy rushed to it and unclosed the volume .	unclosed	6	0
I knew , I noticed . . . sometimes she 'd hum along and harmonize .	harmonize	14	1
They invited local people and politicians to witness the scene , then charged theHeadquarters and took it over .	invited	1	0
Trying his best not to think of this , Dixon bent and tickled Id under the ear .	bent	10	0
The tank examined him with a probe .	examined	2	1
Behind it lie the night clubs .	lie	2	1
I have a feeling that she was worth the trade ,” I added .	added	12	0
Stay tuned for a more in-depth post on the topic .	tuned	1	1
, but much of the city still lay in ruins .	lay	7	1
This vigorous young man with his locksmith 's cap on his head was one of those humble men who are always sufficient to themselves and do not think of comparing themselves with others , but calmly and thankfully accept whatever life offers to them and give simply and naturally all they can .	comparing	29	1
The apparent strengths of the forces in any field theory depend on two kinds of numerical parameter : the masses ( if any ) of the particles like W and Z particles that transmit the forces , and certain intrinsic strengths ( also known as coupling constants ) that characterize the likelihood for particles like photons or gluons or Wand Z particles to be emitted and reabsorbed in particle reactions .	characterize	49	1
At the bottom of the shaft , the rear of the elevator opened up and Zaphod stumbled out into a smallish , functional , steel-lined chamber .	opened	12	0
If he refuses , threaten him .	refuses	2	1
Now can you tell me what your master plan of attack will be before we go spinning counterclockwise into an Anne Rice novel ?”My plan is that you shut up while were trying to conduct business with someone who might be able to tell us what were actually going up against .	tell	3	0
These people do not feel the need to express sympathy , or to think about ways to avoid such incidents , but they feel the need to assert their " rights " and to look for quick , simple answers -- as Busch states , gun owners wanted to " hang [the child] from the highest tree " .	look	34	0
The planned new Roman city , Aelia Capitolina , was built over the ruins of Herodian Jerusalem , and Jews were barred from residing there for all time .	built	10	0
A long nasty will contest would certainly liven up Wycliff s rather mundane career in probate . '	liven	7	0
They in turn were surrounded by a cordon of police , though whether they were there to protect the public from the army or the army from the public , or to guarantee the giant ship 's diplomatic immunity and prevent it getting parking tickets was entirely unclear and the subject of much debate .	guarantee	32	1
Come on , lets go .”As we left the bar , I asked to see the rock .	asked	12	0
But annexed to it and preserved with it , probably in a single red case , were the three large volumes , bound in red leather , that Bilbo gave to him as a parting gift .	annexed	1	0
Bodner plies her with tea :Had his own happiness , however , been the only sacrifice , he might have been allowed to sport with it in what ever manner he thought best ; but her sister 's was involved in it , as , she thought , he must be sensible himself .	sport	23	0
Baley said coldly , " I ca n't resign in the middle of an important case .	resign	8	0
He told Nepthys the name of a woman who lived on a certain street , and we set off .	set	17	0
It is a farewell gift from the dolphins , " said Wonko in a low quiet voice , " the dolphins whom I loved and studied , and swam with , and fed with fish , and even tried to learn their language , a task which they seemed to make impossibly difficult , considering the fact that I now realize they were perfectly capable of communicating in ours if they decided they wanted to . "	fed	32	1
His forces made a series of attacks from their bases in the Dodecanese islands , including sinking a Greek naval vessel in the harbor of Tinos Town , but they only succeeded in strengthening the resolve of the population against them .	succeeded	31	0
